Open*,High,Low,Close**,Volume,Market Cap
"1,304.66","1,350.34","1,194.05","1,219.49","475,079,008","20,709,470,642"
"1,412.85","1,423.94","1,293.47","1,308.46","575,353,984","22,218,026,982"
"1,543.27","1,569.03","1,414.35","1,418.73","820,947,008","24,087,960,507"
"1,483.34","1,553.81","1,483.34","1,534.77","578,905,984","26,055,483,336"
"1,552.10","1,641.40","1,428.49","1,487.46","907,873,024","25,249,614,907"
"1,548.48","1,568.64","1,517.14","1,551.39","641,718,976","26,332,072,140"
"1,373.16","1,558.66","1,369.68","1,552.20","961,009,984","26,343,142,898"
"1,358.65","1,400.71","1,330.18","1,375.81","502,454,016","23,346,962,574"
"1,229.18","1,384.06","1,229.18","1,362.27","629,852,032","23,114,690,849"
"1,285.23","1,289.42","1,205.73","1,231.98","442,663,008","20,901,788,080"
"1,222.43","1,302.66","1,222.43","1,283.91","466,212,992","21,780,634,413"
"1,255.59","1,306.20","1,197.87","1,217.64","651,555,008","20,654,142,398"
"1,311.99","1,394.81","1,215.72","1,257.31","734,606,016","21,324,826,284"
"1,273.87","1,342.41","1,206.39","1,312.11","1,133,760,000","22,251,745,463"
951.57,"1,345.20",951.57,"1,284.56","2,203,709,952","21,782,508,718"
971.08,"1,040.49",902.49,957.96,"866,222,016","16,242,319,571"
890.97,978.91,764.02,974.53,"777,420,032","16,521,414,683"
"1,159.89","1,172.70",839.95,887.41,"568,116,992","15,042,848,358"
"1,273.17","1,286.98","1,101.31","1,165.38","656,033,984","19,752,812,252"
"1,194.23","1,314.43","1,072.83","1,272.50","453,100,992","21,566,075,500"
"1,272.50","1,272.50",980.78,"1,191.14","896,665,984","20,185,147,776"
"1,491.12","1,503.30","1,214.88","1,274.35","678,019,968","21,593,159,858"
"1,470.74","1,522.87","1,406.25","1,486.89","729,209,024","25,191,540,894"
"1,657.69","1,662.07","1,468.17","1,470.55","649,822,976","24,912,532,404"
"1,745.36","1,763.24","1,638.33","1,657.14","362,212,992","28,070,315,174"
"1,636.41","1,762.34","1,636.41","1,746.25","580,544,000","29,576,563,672"
"1,602.50","1,665.81","1,567.78","1,628.63","441,742,016","27,581,500,502"
"1,637.19","1,678.63","1,500.37","1,603.90","594,667,008","27,159,760,943"
"1,661.04","1,707.70","1,611.04","1,642.12","522,193,984","27,804,026,890"
"1,622.15","1,703.34","1,575.42","1,639.13","488,160,992","27,750,266,009"
"1,623.14","1,700.34","1,504.72","1,621.46","578,984,000","27,448,541,050"
"1,794.46","1,815.42","1,525.50","1,621.92","681,350,016","27,453,023,400"
"2,033.70","2,033.70","1,733.99","1,776.64","745,179,008","30,068,588,224"
"1,784.26","2,124.45","1,780.45","2,032.12","1,116,240,000","34,388,779,314"
"1,740.17","1,870.78","1,723.87","1,769.62","743,246,976","29,943,762,140"
"1,752.27","1,893.47","1,696.25","1,756.75","1,024,060,032","29,722,694,803"
"1,767.58","1,875.08","1,361.02","1,748.05","1,457,730,048","29,572,177,012"
"2,406.86","2,406.86","1,555.97","1,772.07","1,704,029,952","29,975,361,482"
"2,541.58","2,576.13","2,328.31","2,401.54","1,412,359,936","40,618,867,060"
"2,687.10","2,746.61","2,490.04","2,553.32","993,310,016","43,182,003,172"
"2,617.66","2,850.27","2,589.03","2,685.29","1,218,569,984","45,408,790,958"
"2,475.90","2,648.23","2,413.33","2,620.99","1,110,220,032","44,316,550,742"
"2,891.55","2,976.49","2,396.84","2,462.61","1,947,949,952","41,634,454,574"
"2,390.02","2,961.20","2,332.48","2,895.38","2,578,810,112","48,945,566,478"
"2,412.36","2,502.87","2,346.68","2,391.56","1,084,749,952","40,423,910,896"
"2,786.60","2,810.32","2,275.07","2,421.47","1,428,899,968","40,924,901,250"
"2,784.68","3,071.16","2,730.31","2,786.88","1,444,780,032","47,096,251,512"
"2,583.71","2,829.69","2,481.36","2,786.65","1,669,159,936","47,087,244,209"
"2,400.74","2,648.32","2,370.59","2,584.48","2,115,709,952","43,666,146,452"
"2,608.87","2,610.20","2,359.30","2,430.18","5,377,260,032","41,055,035,639"
"2,700.55","2,958.47","2,592.56","2,608.69","4,688,840,192","44,066,024,089"
"2,434.50","2,867.14","2,434.50","2,711.00","1,831,229,952","45,789,806,625"
"2,534.82","2,534.86","2,389.52","2,432.54","922,812,992","41,081,678,129"
"2,376.96","2,627.95","2,350.03","2,533.01","1,300,819,968","42,774,211,630"
"2,791.55","2,791.55","2,329.47","2,392.41","1,257,760,000","40,395,783,040"
"2,587.30","2,922.41","2,389.04","2,779.95","2,479,419,904","46,933,895,850"
"2,888.64","2,896.78","2,481.30","2,566.64","3,221,299,968","43,328,187,749"
"3,108.32","3,108.32","2,771.05","2,889.52","1,406,450,048","48,773,544,483"
"2,947.74","3,112.64","2,915.80","3,108.89","1,544,429,952","52,470,912,753"
"2,929.35","3,099.62","2,755.60","2,954.69","1,355,440,000","49,863,052,971"
"3,260.55","3,260.55","2,573.44","2,903.12","1,712,160,000","48,988,190,394"
"2,746.95","3,479.71","2,684.82","3,257.08","2,843,310,080","54,954,593,738"
"3,324.00","3,369.55","1,938.36","2,696.69","3,877,769,984","45,494,171,559"
"3,909.00","3,909.00","3,038.01","3,267.17","3,664,329,984","55,113,237,296"
"2,825.03","4,355.62","2,825.03","3,923.07","11,889,600,512","66,171,059,189"
"2,199.06","2,918.93","2,160.92","2,805.89","3,913,339,904","47,321,685,586"
"1,869.21","2,353.64","1,799.12","2,196.64","2,538,650,112","37,042,462,022"
"1,812.33","1,939.93","1,806.65","1,862.88","1,020,590,016","31,410,042,966"
"1,824.85","1,890.06","1,769.50","1,801.88","971,254,976","30,378,232,773"
"1,974.66","1,974.66","1,678.06","1,815.43","1,457,229,952","30,603,860,847"
"1,600.67","2,080.41","1,593.15","1,966.14","2,717,410,048","33,141,132,956"
"1,616.99","1,702.53","1,497.94","1,607.65","1,245,190,016","27,095,413,483"
"1,427.38","1,638.29","1,427.38","1,615.03","1,386,249,984","27,216,606,687"
"1,320.00","1,453.49","1,316.85","1,423.38","922,792,000","23,984,344,430"
"1,411.84","1,411.84","1,226.21","1,323.07","885,886,016","22,291,645,665"
"1,464.63","1,526.40","1,353.90","1,410.06","1,059,609,984","23,755,016,434"
"1,329.16","1,731.32","1,247.93","1,464.13","2,553,979,904","24,663,214,945"
"1,430.71","1,454.73","1,323.75","1,330.93","1,285,209,984","22,416,587,804"
"1,498.49","1,530.65","1,396.16","1,430.10","1,154,620,032","24,085,547,561"
"1,580.16","1,623.16","1,498.00","1,501.85","1,032,800,000","25,290,985,042"
"1,560.16","1,580.11","1,498.98","1,576.92","780,633,984","26,552,277,518"
"1,435.36","1,649.30","1,420.60","1,559.93","1,476,739,968","26,263,371,463"
"1,462.06","1,502.37","1,415.49","1,434.98","574,510,016","24,157,152,873"
"1,381.81","1,482.68","1,300.46","1,462.68","965,150,976","24,620,981,621"
"1,380.36","1,468.75","1,222.10","1,389.78","1,211,730,048","23,391,282,947"
